,weightclass,R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
72,Light Heavyweight,Jon Jones,Chael Sonnen,-875.0,685,11.42857143,685.0,4/27/2013,"Newark, New Jersey, USA", USA,Red,True,Light Heavyweight,MALE,5,1,0,0,36.0,0.495454545,0.181818182,3.181818182,0.498181818,3,5,29,2,0,0,5,0,1,0,6,Southpaw,185.42,187.96,205,0,8,0,44.33333333,0.555,0.666666667,1.916666667,0.674166667,8,1,31,5,0,0,3,3,5,0,11,Orthodox,193.04,213.36,205,25,36,-1,-8,-5,-5,-4,-2,-3,-3,-4,-7.62,-25.4,-11,-8.33333333,-0.484848485,1.265151515,0,1,,0.0,,,,,,0.0,,,,,,,2.0,,,,,,,9.0,,,,,,,Red,KO/TKO,Punches,1.0,4:33,273.0,400.0,1000.0,135.0,2200.0,145.0,1800.0
73,Light Heavyweight,Jon Jones,Vitor Belfort,-840.0,660,11.9047619,660.0,9/22/2012,"Toronto, Ontario, Canada", Canada,Red,True,Light Heavyweight,MALE,5,0,2,0,9.8,0.516,0.466666667,0.4,0.183333333,3,5,21,4,0,0,0,7,2,1,10,Southpaw,182.88,187.96,185,0,7,0,42.45454545,0.551818182,0.636363636,2.0,0.644545455,7,1,27,4,0,0,3,3,4,0,10,Orthodox,193.04,213.36,205,25,35,0,-5,-4,0,-4,-6,0,5,-2,-10.16,-25.4,-10,-32.65454545,-0.169696969,-1.6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Keylock,4.0,0:54,954.0,569.0,1200.0,236.0,3375.0,-119.0,800.0
74,Light Heavyweight,Jon Jones,Rashad Evans,-510.0,440,19.60784314,440.0,4/21/2012,"Atlanta, Georgia, USA", USA,Red,True,Light Heavyweight,MALE,5,0,4,0,27.5,0.381428571,0.0,3.428571429,0.462857143,5,2,39,3,1,3,3,5,0,0,12,Orthodox,182.88,190.5,205,0,6,0,36.2,0.558,0.7,2.1,0.659,6,1,22,3,0,0,2,3,4,0,9,Orthodox,193.04,213.36,205,24,32,0,-2,-1,3,-1,17,0,2,-4,-10.16,-22.86,-8,-8.7,-0.7,1.328571429,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,5.0,5:00,1500.0,,,,,,
75,Light Heavyweight,Jon Jones,Lyoto Machida,-475.0,420,21.05263158,420.0,12/10/2011,"Toronto, Ontario, Canada", Canada,Red,True,Light Heavyweight,MALE,5,0,1,0,36.81818182,0.589090909,0.727272727,1.090909091,0.422727273,8,2,28,3,0,0,5,3,1,0,9,Southpaw,185.42,187.96,185,0,5,0,37.55555556,0.57,0.666666667,2.222222222,0.676666667,5,1,20,2,0,0,2,3,3,0,8,Orthodox,193.04,213.36,205,24,33,0,-4,3,1,-1,8,1,0,-2,-7.62,-25.4,-9,-0.73737374,0.06060606,-1.131313131,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,2.0,4:26,566.0,,,,,,
76,Light Heavyweight,Jon Jones,Rampage Jackson,-500.0,435,20.0,435.0,9/24/2011,"Denver, Colorado, USA", USA,Red,True,Light Heavyweight,MALE,5,0,2,0,36.66666667,0.49,0.0,0.555555556,0.257777778,3,2,26,3,0,1,3,3,0,0,7,Orthodox,185.42,185.42,205,0,4,0,34.625,0.57625,0.5,2.25,0.72,4,1,16,1,0,0,2,3,2,0,7,Orthodox,193.04,213.36,205,24,33,0,-2,-1,0,-1,10,2,0,-2,-7.62,-27.94,-9,2.04166667,-0.5,-1.694444444,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
77,Light Heavyweight,Jon Jones,Ryan Bader,-285.0,258,35.0877193,258.0,2/5/2011,"Las Vegas, Nevada, USA", USA,Red,False,Light Heavyweight,MALE,3,0,5,0,32.4,0.404,0.4,3.2,0.42,5,0,13,1,0,0,3,2,0,0,5,Orthodox,187.96,187.96,205,0,2,0,30.33333333,0.58,0.166666667,2.166666667,0.626666667,3,1,11,0,0,0,2,2,1,0,5,Orthodox,193.04,213.36,205,23,27,0,3,2,0,1,2,1,0,-1,-5.08,-25.4,-4,2.06666667,0.233333333,1.033333333,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,2.0,4:20,560.0,,,,,,
78,Light Heavyweight,Jon Jones,Vladimir Matyushenko,-752.0,602,13.29787234,602.0,8/1/2010,"San Diego, California, USA", USA,Red,False,Light Heavyweight,MALE,3,0,2,0,23.0,0.48,0.142857143,2.428571429,0.505714286,2,2,19,1,0,1,3,1,0,0,5,Orthodox,182.88,187.96,205,0,1,0,33.4,0.51,0.2,2.4,0.552,3,1,10,0,0,0,2,1,1,0,4,Orthodox,193.04,213.36,205,23,39,0,1,-1,1,-1,9,1,0,-1,-10.16,-25.4,-16,-10.4,-0.057142857,0.028571429,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbows,1.0,1:52,112.0,,,,,,
79,Heavyweight,Cain Velasquez,Travis Browne,-355.0,295,28.16901408,295.0,7/9/2016,"Las Vegas, Nevada, USA", USA,Red,False,Heavyweight,MALE,3,0,1,0,23.15384615,0.500769231,0.153846154,0.769230769,0.370769231,3,4,23,0,0,0,1,7,1,0,9,Orthodox,198.12,200.66,255,1,0,0,51.38461538,0.59,0.230769231,2.538461538,0.440769231,7,2,27,6,0,0,2,9,0,0,11,Orthodox,185.42,195.58,240,33,33,1,1,-4,-2,-2,-4,-6,-2,1,12.7,5.08,0,-28.23076923,-0.076923077,-1.769230769,0,1,7.0,2.0,,,,,2.0,,,,,,,,,,,,,7.0,,,,,,,,,Red,KO/TKO,Punches,1.0,4:57,297.0,325.0,950.0,900.0,1500.0,-110.0,350.0
80,Heavyweight,Cain Velasquez,Fabricio Werdum,-460.0,365,21.73913043,365.0,6/13/2015,"Mexico City, Distrito Federal, Mexico", Mexico,Blue,True,Heavyweight,MALE,5,0,5,0,42.88888889,0.603333333,0.111111111,0.555555556,0.147777778,5,2,20,1,0,0,2,4,1,0,7,Orthodox,193.04,195.58,231,0,4,0,48.33333333,0.595833333,0.25,2.416666667,0.410833333,7,1,24,5,0,0,2,9,0,0,11,Orthodox,185.42,195.58,240,32,37,0,1,-2,-4,-1,-4,-4,-5,1,7.62,0.0,-5,-5.44444444,-0.138888889,-1.861111111,0,1,1.0,0.0,,,,,0.0,,,,,,,,4.0,,,,,1.0,,,,,,,,14.0,Red,SUB,Guillotine Choke,3.0,2:13,733.0,300.0,1000.0,1425.0,750.0,-150.0,1050.0
81,Heavyweight,Cain Velasquez,Junior Dos Santos,-200.0,185,50.0,185.0,10/19/2013,"Houston, Texas, USA", USA,Red,True,Heavyweight,MALE,5,0,1,0,49.0,0.534545455,0.0,0.363636364,0.227272727,9,1,24,3,0,0,2,8,0,0,10,Orthodox,193.04,195.58,238,0,3,0,41.54545455,0.594545455,0.181818182,2.454545455,0.434545455,7,1,19,4,0,0,2,8,0,0,10,Orthodox,185.42,195.58,240,31,29,0,-2,2,0,0,5,-1,0,0,7.62,0.0,2,7.45454545,-0.181818182,-2.090909091,0,1,1.0,0.0,,,,,0.0,,,,,,,,5.0,,,,,1.0,,,,,,,,,Red,KO/TKO,Punch,5.0,3:09,1389.0,200.0,750.0,725.0,1800.0,250.0,225.0
82,Heavyweight,Cain Velasquez,Antonio Silva,-705.0,570,14.18439716,570.0,5/25/2013,"Las Vegas, Nevada, USA", USA,Red,True,Heavyweight,MALE,5,0,2,0,12.33333333,0.56,0.0,0.0,0.0,2,1,5,0,0,0,0,2,0,0,2,Orthodox,193.04,203.2,264,0,2,0,43.9,0.59,0.2,2.7,0.478,7,1,18,3,0,0,2,7,0,0,9,Orthodox,185.42,195.58,240,30,33,0,0,-5,-7,0,-13,-3,-5,0,7.62,7.62,-3,-31.56666667,-0.2,-2.7,0,1,4.0,0.0,,,,,0.0,,,,,,,,6.0,,,,,4.0,,,,,,,,,Red,KO/TKO,Punch,1.0,1:21,81.0,650.0,1500.0,1500.0,2200.0,-380.0,825.0
83,Heavyweight,Cain Velasquez,Antonio Silva,-400.0,355,25.0,355.0,5/26/2012,"Las Vegas, Nevada, USA", USA,Red,False,Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,203.2,264,1,0,0,37.5,0.60625,0.25,1.875,0.43125,7,1,12,2,0,0,1,6,0,0,7,Orthodox,185.42,195.58,240,29,32,1,0,-7,-7,1,-12,-2,-6,0,7.62,7.62,-3,-37.5,-0.25,-1.875,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,3:36,216.0,438.0,1150.0,2000.0,1580.0,-170.0,495.0
